Address,Room,Bath,Property_type,Bedrooms_available,Available_from,Available_for,Sharing_with,Owner_occupied,Preferences,Date_entered/renewed,Property_views,Latitude,Longitude,Pre_processed_desc,Desc_length,Price_per_month,County,adjective_counts
"12 Maiville, Kilrush Road, Ennis, Ennis, Co. Clare",Double Room,Shared Bathroom,House,1,Immediately,8 Months,1,Yes,Female,03/04/2023,352,,,double room rent ennis walk distance town quiet safe area suitable female quiet house everyone work full time think would suitable,203,550,Clare,8
"8 Athy Road Dranure House, Carlow Town, Co. Carlow",Double Room,Shared Bathroom,House,1,"Apr 20th, 2023",1 Year,2,No,Male / Female,09/04/2023,727,,,quiet house sharing two female please message I question,91,400,Carlow,2
"Ballinorig Road, Tralee, Co. Kerry",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,31/03/2023,289,52.2690526,-9.6809275,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 34799a,551,600,Kerry,8
"2c Abbotstown Avenue, Dublin 11, Dublin 11",Twin Room,Shared Bathroom,House,1,"May 1st, 2023",1 Year +,5,No,Male / Female / +1 Person,08/04/2023,522,53.3886869,-6.3176085,1st sharing room 1 single bed bed 650aaaaaaa bill available may 2nd I one seat 2 month april may one interested send I message bus stop next house 30 min bus city center no pet no smoking no party look clean respectful parson available 1st may,339,650,Dublin 11,6
"Tully, Inverin, Co. Galway",Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,05/04/2023,167,,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 36553b,551,500,Galway,8
"2 Lakelands Gardens, Crawford Gate, Blackrock, Cor, Blackrock, Co. Cork",Double Room,En-suite,House,1,"May 10th, 2023",1 Year,1,Yes,Male / Female,11/04/2023,782,,,double room available new modern house property ideally locate within walk distance supervalu aldi mater private hospital mahon point shopping centre business park within easy reach south link road system jack lynch tunnel cork airport bill extra not include rent email call 6 pm no call office hour,387,800,Cork,6
"Glenabbey Road, Mount Merrion, Co. Dublin",Double Room,Shared Bathroom,House,3,"May 20th, 2023",3 Months,2,No,Male / Female,13/04/2023,473,53.2938217,-6.2145261,the house large kitchen utility room separate dining sitting room two full bathroom house one upstairs downstairs garden front back location house quiet lovely public park rear house view dublin bill include house service,380,750,,7
"Kylemore, Castletroy, Co. Limerick",Double Room,En-suite,House,1,"May 8th, 2023",6 Months,2,Yes,Male / Female,21/03/2023,"1,060",,,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 45488,550,800,Limerick,8
"Passage west , Glenbrook, Co. Cork",Double Room,Shared Bathroom,House,1,Immediately,1 Year +,4,Yes,Male / Female,05/04/2023,673,51.8722363,-8.3363088,double room rent passage west glenbrook area beautifully furnished well maintain house large kitchen dining area utility beautiful view look water sky tv wifi 7 min walk bus route 223 bring ringaskidy straight cork city 7 min drive ringaskiddy new port cork 15 min drive cork city mahon point shopping centre voxpro emc quest city gate energie fitness 15 min drive douglas shopping centre 10 min drive monkstown rochestown electric car charger point pharmacy centra store carrigaline supervalu dunnes lidi 10 min drive ringaskiddy pfizer novartis hovion marina port cork etc drive 710 min bus route 15 min passage west post office pharmacy aldi ferry cobh little island 3 min drive 10 min walk cork airport 15 min 650 per month bill,912,650,Cork,8
"Riverside Drive, Dundalk, Co. Louth",Double Room,Shared Bathroom,House,1,Immediately,6 Months,1,Yes,Male,12/04/2023,"1,108",54.0029547,-6.3667651,beautiful modern duplex quiet residential area dundalk close town pay pal wuxi xerox cinema shop bill include electricity heating internet bin cleaning lady twice monthly 1 large double room lot storage bathroom share one tenant large kitchen dining area downstairs toilet large outdoor private balcony home excellent repair gay friendly 600 deposit plus 600 1st month rent move deposit return 4 week notice leave property,522,600,Louth,12
"rocky road, Midleton, Co. Cork",Double Room,En-suite,House,1,"Jun 1st, 2023",1 Year +,1,Yes,Male,03/04/2023,258,,,private studio flat inset main house fully self catering separate entrance totally separate main house private secure parking also individual heating control double bed large toilet large wardrobe 2 seater couch desk tv stand separate kitchen area fridge freezer small cooker 2 hot plate kettle toaster utensil etc washing machine dryer laundry locate main house utility room via separate entrance rent 1200 per month inclusive electric gas heating wifi ethernet connection bin etc email detail along contact detail I get back currently paint photo follow,751,,Cork,15
"Haydens Park Lawn, Lucan, Co. Dublin",Twin Room,Shared Bathroom,House,1,"Jun 1st, 2023",6 Months,2,Yes,Male / Female,07/04/2023,213,53.3387524,-6.4429051,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 681,548,740,,8
"48 Pine Hurst, Dublin 7",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,No,Male / Female,13/04/2023,"1,847",,,locate dublin 7 double room bathroom private estate across tesco cabra library short long term let consider depend applicant area lot amenity within 5 min walk include gym swimming pool local park tesco lidl pharmacy etc 15 min stoneybatter phibbsborough bus connection 2 min walk door phoenix park 5 min bike 0min town free anytime street parking available no parking permit require secure shed store bike etc house share 2 people couple irish spanish area really nice quiet safe residential area little private park mid late 30 social easy going tidy fair live aware not party house smoker welcome apply outside please anything else please send I message I try get back soon I thank view,1007,760,Dublin 7,20
"63 Cashel Avenue, Dublin 12, Terenure, Dublin 6",Single Room,En-suite,House,1,"Apr 30th, 2023",3 Months,1,Yes,Male / Female,13/04/2023,381,,,room available upstairs house close amenity property share owner nice quiet area,113,850,Dublin 6,4
"Harbour Road, Rush, Co. Dublin",Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Female,21/03/2023,364,53.5224979,-6.0806376,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 24330,550,1120,,8
"Southmede, Ballinteer Road, Dundrum, Dublin 14",Double Room,Shared Bathroom,Apartment,1,"Apr 14th, 2023",6 Months,1,Yes,Male / Female,12/04/2023,"2,158",,,bright room king bed build wardrobe available immediately share apartment one female friendly cat no sharing room unfortunately ballaly luas ten minute walk 14 75 bus run outside door share apartment I female early 30 I work office home depend project I room let not large enough wfh full time unfortunately room available asap 6 month view extend lease also open less 7 night per week pro rota bill not include parking arrange another tenant build willing rent one lot bike parking underground really nice apartment lot modern convenience particularly kitchen coffee machine milk foamer food processor air fryer please email question arrange viewing please add little info I try get back everyone apology I not thank,1007,,Dublin 14,17
"18 Ardcahon Drive, Coolkellure, Lehenagh More, Cor, Lehenaghmore, Co. Cork",Double Room,Shared Bathroom,House,1,Immediately,6 Months,1,Yes,Male / Female,14/04/2023,"1,609",,,fully furnish double room available rent mod con approx 10 min drive city centre hospital airport bus stop 3 min walk route 203 house locate quiet safe residential area parking available owner occupy no pet non smoker utility extra electricity bin internet one month security deposit require first month rent please email I daft interested info,458,750,Cork,6
"dale road, Kilmacud, Co. Dublin",Double Room,En-suite,Apartment,1,"May 1st, 2023",1 Year,2,Yes,Male / Female,13/04/2023,274,53.2865842,-6.2143434,we available self contain modern cosy 1 bed apartment attach main house door access completely private nice quiet neighborhood flexible length stay 4months 1 yr place small fully furnish small double bed close bus luas stop parking available also around 10 min bike ucd rent include bill gas electricity bin wifi etc,487,,,11
"22 Aughanteeroe, Gort Road, Ennis, Ennis, Co. Clare",Double Room,En-suite,House,1,Immediately,1 Year,3,No,Male / Female,31/03/2023,"1,194",,,large double room ensuite locate gort rd ennis email bill not include monthly rent,121,500,Clare,3
"Collins Park, Beaumont, Dublin 9",Double Room,Shared Bathroom,House,2,Immediately,1 Year,1,Yes,Male / Female,10/04/2023,"1,958",53.3793722,-6.2262202,two double room available city centre easily accessible bus take approximately 15 minute beaumont hospital within walk distance number local shop amenity,218,800,Dublin 9,3
"New Priory, Hole in the Wall Road, Donaghmede, Dublin 13",Double Room,Shared Bathroom,Apartment,1,Immediately,6 Months,1,Yes,Male / Female,10/04/2023,555,,,a spacious 2 bed apartment share 1 person double room share bathroom room ensuite majority use male easy go owner occupy home available 6 month potential extend happy bill include price apartment locate 100 metre 15 bus route 24 hour service 8 min walk clongriffin dart station option 850 per month mon fri sun thurs please email I information arrange viewing 1 month rent deposit require,561,,Dublin 13,6
"Highland Drive, Letterkenny, Co. Donegal",Double Room,Shared Bathroom,House,1,Immediately,1 Year +,3,No,Male / Female,02/04/2023,"1,413",,,lovely big house nice area close hospital optum pramerica town kellys centra shop restaurant 2 minute walk away extremely convenient house 2 living room broadband include price broadband ultra speed 1000 mb unlimite,302,400,Donegal,5
"14 Kerrylee, Killeen, Oakpark, Tralee, Tralee, Co. Kerry","Single, Double & Twin Room",En-suite,House,4,"Jun 3rd, 2023",3 Months,1,No,Male / Female,07/04/2023,477,,,1 x double bedroom en suite 1 x twin room en suite 2 x single room en suite available summer month perfect someone group people look short term stay close mtu campus etb centre student look come summer internship apprenticeship bus route stop right outside accommodation make tralee area extremely accessible bill include price internet bin charge heating electricity include price also open plan kitchen dining living area convenient appliance dishwasher washing machine tumble dryer etc room bedding provide room arrival open short term stay course run week month please send whatsapp sarah 0838244217 thank mill,841,600,Kerry,13
"24 Hollybank Crescent, Clongowen, Kilkenny, Kilkenny, Co. Kilkenny",Double Room,Shared Bathroom,House,1,Immediately,1 Year +,1,Yes,Female,13/04/2023,110,52.63949625,-7.251834675725471,this family house 4 bedroom house want rent room female term condition I explain ring number thanks,187,580,Kilkenny,2
"183 SlÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Â ÃƒÂ¢Ã¢â€šÂ¬, Knocknacarra, Co. Galway",Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year,1,No,Male,08/04/2023,"1,183",,,double room available bright spacious apartment overlook salthill 3rd april sli gheal ballymoneen road knocknacarra sli geal close shopping center church school gym bus route 15 minute walk silver strand beach 10 minute walk cappagh park barna woods no pet non smoking household rent 50 month exclude bill email interested organize viewing appointment reference require,492,750,Galway,6
"The Cottage, Lecarrow, Knock, Claremorris, Claremorris, Co. Mayo",Double Room,Shared Bathroom,House,1,Immediately,1 Year +,1,Yes,Male / Female,08/04/2023,"1,220",,,room rural cottage knock transport need bill include please ring wish view,110,320,Mayo,1
"Blind Quay, Exchange Street Lower, Temple Bar, Dublin 2",Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year +,2,No,Female,14/04/2023,"2,798",,,if ad still live room still available 1 stunning duplex penthouse loft apartment heart city centre 2 super central location quieter end temple bar e away bar night time noise 3 large open plan top floor comprise live space kitchen combo large sunny terrace end panoramic view river liffey city skyline 4 hammock top floor terrace sun lounge 5 large floor ceiling window end top floor living space load natural light sun year round ideal houseplant welcome strongly encouraged 6 bright double bedroom include large floor ceiling window terrace overlook river liffey stunning view especially sunset lot storage space space desk 7 projector massive super comfy l shape sofa hangover day netflix night 8 new kitchen appliance whole apt recently paint refurbe 9 5 minute walk st stephens green grafton st green red line luas dart trinity college south william st st patricks cathedral park dublin castle etc 10 10 minute walk grand canal dock phoenix park google facebook linkedin etc 11 multiple dublinbike stands locate second walk away building always plenty bleeperbike area 12 1 gb virgin fibre broadband internet 13 utility electricity internet average aaaaaasaa60 month 14 require 1x month rent aaaaaasaa1046 security deposit aaaaaasaa1046 15 share 2x work professional irish guy spanish girl music film art culture food life etc please tell bit response make sure match 16 hold 11 f2f zoom viewing asap,1944,,Dublin 2,36
"Ballyallinan Castle, Rathkeale, Co. Limerick",Double Room,Shared Bathroom,House,3,Immediately,1 Year,3,No,Male / Female,09/04/2023,"1,766",,,bungalow house 3 bedroom available room share property locate quite county limerick countryside busy town rathkeale newcastlewest close knockaderry area no public transport property therefore transport necessary 5 kms n21 limerick kerry main route 30 kms limerick city,374,500,Limerick,4
"Beacon South Quarter, Sandyford, Dublin 18",Double Room,En-suite,Apartment,1,Immediately,1 Year +,1,No,Male / Female,10/04/2023,615,53.27821994999999,-6.215623250000004,very large double room available sandyford dublin 18 large double bed lot storage black curtain lockable door twin sink private ensuite shower spacious living room kitchen robot vacuum cleaner surround host amenity large supermarket coffee shop restaurant gym within 60 second walk city centre 20 minute car luas stillorgan luas station 5 minute walk apartment 2 bedroom 2 bathroom conceirge delivery secure underground parking space include bill split 5050 current tenant professional male work office locally remain small bedroom exclusive use main bathroom look clean friendly easy go tenant ideally 6 month lease start view extend,822,,Dublin 18,18
"1 Dodderbrook Dale, Dublin 24, Bohernabreena, Co. Dublin",Single Room,Shared Bathroom,House,1,Immediately,1 Year +,3,Yes,Male / Female,07/04/2023,"2,501",53.2683624,-6.3423362,beautiful home good location large single room double bed build wardrobe use large sitting room full internet large screen tv would suit teacher look monday friday person would go home weekend 2 family dog much part family comfortable family property good family feel rent include bill,433,750,,10
"Latchford Green, Ongar, Dublin 15",Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,07/04/2023,188,53.3967783,-6.4331255,hoste power agency provide affordable accommodation ireland since 2014 proud advertise fully furnish comfortable private room house equip modern convenience share welcome host bill electricity gas etc wifi include rent bedding provide book room fast way book room please go website alternatively please reply ad detailed self description room ref 47041,550,1080,Dublin 15,8
"Meadow Court, Stepaside Park, Stepaside, Dublin 18, Stepaside, Dublin 18",Single Room,Shared Bathroom,House,1,Immediately,1 Year,2,No,Male / Female,12/04/2023,"2,700",53.254532,-6.2083104,please email detail contact viewing commence property partners obrien swaine proud present single bedroom let tastefully decorate mews style house situate much seek area easy access surround suburb leapardstown sandyford well regular public transport link dublin city centre elevated location foothill dublin mountain give broad sweeping view dublin city bay,514,600,Dublin 18,7
"Old Bawn Road, Tallaght, Dublin 24",Double Room,En-suite,House,1,"May 1st, 2023",1 Year +,4,No,Male / Female,11/04/2023,"1,316",53.2756795,-6.3544255,hi guy basically warm squeaky clean house nice big double room big bathroom available september tallaght dublin 24 1 gb fibre internet bus service city center essentially doorstep amenity like park supermarket around tallaght square shopping center house occupy nice kind polite housemate look also someone nice fit home rent 900 euro deposit 900 bill eletricitygas email please add much information send display email not hesitate contact view house thank hopefully enjoy stay,717,900,Dublin 24,14
"26 James walk Rialto , Dublin 8",Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year +,2,No,Male / Female,12/04/2023,914,,,new market please see luxurious apartment herberton complex door step right fatima luas stop walking distance city center area verity shop gym apartment 10years old build furnish good quality possible stylised great ber rating save bills everythe need already,386,,Dublin 8,8
