Adress,Price,Room,Bath,Property_type,Bedrooms_available,Available_from,Available_for,Sharing_with,Owner_occupied,Preferences,Description,Date_entered/renewed,Property_views
"123 Rockfield Court, Dundalk, Co. Louth",Ä440 per month,Single Room,Shared Bathroom,House,1,Immediately,1 Year +,1,No,Male / Female,"DescriptionThis rental property is a beautiful detached house that features a modern home design and is situated in the heart of Dundalk. The house boasts a lovely garden.

The property has a total of 4 bedrooms, including 2 single rooms, 2 double rooms and 3 path rooms. The bedrooms are bright and spacious, with large windows that let in plenty of natural light, and they are fully furnished with comfortable beds and wardrobes.

The house has been recently renovated and features modern amenities  as well as a fully equipped kitchen with all the appliances you need to cook your favorite meals. There is also a dining area where you can enjoy your meals with your housemates, as well as a cozy living room where you can relax after a long day.

The property is located just a short walk away from a popular retail park, where you can find a variety of shops, restaurants, and cafes. It is also within walking distance to Dundalk IT, making it an ideal location for students. The house is also conveniently located near public transportation, making it easy to get around Dundalk and beyond.

Overall, this property is the perfect combination of modern design, convenient location, and comfortable living. With its lively garden, spacious bedrooms, and modern amenities, it is sure to make you feel right at home.",09/04/2023,"1,497"
"Clonbeg, Church Hill Meadows, Raheen, Co. Limerick",Ä580 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year +,4,No,Male / Female,"DescriptionText or message with brief details about yourself and I will be in contact.

Spacious 5 bedroom house (plus large rear extension) in quiet residential area.
 
Located beside Raheen business park, roughly a 5 minute to Regeneron and University Hospital Limerick, 5minutes to Cresent shopping centre

Just off the M20 motorway.

1 large double bedrooms available.

The room has full double bed with wardrobe and chest of drawers as storage

Large living area with recliner sofa 

All appliances and fully furnished. 

There is a large rear shed storage along with washing machine and dryer. 

High speed fibre internet

Efficient gas heating

Conveniently located with bus stop directly across the road.

Ideal for people employed in in the locality looking for shared living in a modern house with excellent facilities.

House shared with 4 working professionals in their mid 20s, who work shift in Regeneron. 

Rent 580/month. ESB, gas broadband and bins shared equally.",10/04/2023,"2,817"
"Apartment 20, Turnstone, Thornwood, Booterstown Av, Booterstown, Co. Dublin","Ä1,350 per month",Double Room,En-suite,Apartment,1,"Apr 22nd, 2023",6 Months,1,Yes,Male,"Description*s!ngle oc$upancy only* 
Mid age Irish male working in the Tech Sector, shortly returning to full time education. Looking to share second double room in a large 2 bed 2 bath corner apartment.  

Occupying a prime corner position on the first floor, this apartment offers over 1,020 sq. ft. of well proportioned dual aspect accommodation. 

Ideally located at the corner of  Booterstown Avenue and the N11, every conceivable amenity is within close proximity. A selection of exclusive shops, restaurants and bars are within a short stroll and The Merrion, Stillorgan and Dundrum are within minutes drive. UCD and Michael Smurfit Graduate Business School are nearby and the excellent leisure activities and facilities at Belfield are easily accessible as are Blackrock Park and Mount Merrion Park.
There are a host of public transport routes nearby including a QBC and DART, with the N11 offering quick access to the M50 and major road networks.",13/04/2023,285
"Taoibh Na Coille, Ballycullen Rd, Knocklyon, Dubli, Knocklyon, Dublin 16",Ä500 per month,Twin Room,Shared Bathroom,House,1,Immediately,6 Months,1,No,Male / Female / +1 Person,"DescriptionTWIN BEDROOM VACANCY AVAILABLE IN KNOCKLYON
Knocklyon, Dublin 16
Rent price is 500 Euro per month.
Twin Bedroom Available.
Deposit is the same amount as rent.
Bills turn around 50/60 euro per month.
This place functionalities and appliances working are in perfect order and all maintenance and items replacements are offered by the Landlord.
Our main priority is that you clean up after yourself, respect other tenants and noise levels.
For more information please send to me a private message.",13/04/2023,243
"Toberpatrick, Tinahely, Co. Wicklow",From Ä145 to Ä165 per week,Double Room,Shared Bathroom,House,2,Immediately,3 Months,1,Yes,Female,"DescriptionDublin Host Families are proud to offer 2 bedrooms in this stunning showhouse condition detached property.

Ideally situated in a countryside location convenient to Tinahely, Aughrim, Arklow and Gorey Town Centre.

As this is located in a rural position, you would require your own car as there is no public transport close by.

All household bills are included (oil, electric, cable, refuse, wifi, water)
	
There is also a continental style breakfast included in the price.

You host will ask for a small security deposit against breakages that is refunded when leaving the house.

The rate for the room is Ä145 per week (double) and Ä165 per week (en suite room) and it is paid every 4 weeks in advance.",13/04/2023,156
"Alberta, 99 Greenpark Road, Bray, Bray, Co. Wicklow",Ä600 per month,Single Room,Shared Bathroom,House,1,"Apr 28th, 2023",6 Months,2,No,Female,"Description3 bedrooms house with small garden , 2 firepalace ,10 mins. walk to main street.
Only text or email please ! I will reply asap thanks 
Pavel",13/04/2023,969
"34 Straffan Place, Straffan Wood, Maynooth, Naas, Maynooth, Co. Kildare",Ä700 per month,Double Room,Shared Bathroom,House,1,"Apr 28th, 2023",2 Months,2,No,Female,"Description***Temporary Accommodation***
**Immediate Move In**

A double bedroom available in a 3 bedroom house where one room is available for renting. Will be sharing the house with 2 females. 1 professional worker and 1 PhD student at Maynooth university.  It comes fully furnished and offers perfect convenience in the popular and well established area. Bills included in the rent.

With supermarket near by (Lidl 5 min walk), transport link (C3 - connects Maynooth city centre, Leixlip, Lucan and Dublin; 5 mins walk), Greenfield shopping centre (10 mins walk), maynooth train station and city centre (20 mins walk), Maynooth University (30 mins walk), close proximity of M4, Straffan Wood is great choice for people who are looking for accommodation in quite and convenient establishment.

Note: We will be accepting female only for the double room.",11/04/2023,"1,234"
"Forest Park, Leixlip, Co. Kildare",Ä160 per week,Twin Room,Shared Bathroom,House,1,"Jun 1st, 2023",6 Months,2,Yes,Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host.

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 5798",10/04/2023,166
"Upper Fairhill, Fairhill, Co. Cork",Ä185 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 42386",21/03/2023,"1,078"
"Riverside Park, Clonmany, Co. Donegal",Ä100 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 31363A",21/03/2023,101
"Bayview Lawns, Killiney, Co. Dublin",Ä825 per month,Double Room,Shared Bathroom,House,1,"May 1st, 2023",1 Year,2,Yes,Female,"DescriptionA fully furnished, comfortable double bedroom available. The tenant will have a bathroom shared with one family resident, and access to a well equipped kitchen, living room and parking spot.

It is situated in the peaceful suburb of Killiney. Within a 20 minute walking distance, you have Killiney and Shankill Dart stations, as well as bus routes 145 and 155 which bring you into the city centre and out to Bray. 

Deposit is 825. All bills are included in the retail price (electricity, gas, bins, Wifi etc.)

References essential.",10/04/2023,517
"Kingswood Cross, Citywest, Co. Dublin","Ä1,050 per month",Double Room,Shared Bathroom,House,1,Immediately,6 Months,3,No,Male / Female,"DescriptionThat is a large and main bedroom of the house. 

Excellent Location, 5  minutes walking to Cheeverstown Luas Stop.  Near to SAP, Citywest Business Campus, Amazon, Infosys


VIEWING: Arranged through Email 

- Shared bath. 
- The room has double bed and its wardrobe
- Bills are extra around 60-80 Euro per month 
- No smoking or  pets
- Energy efficient house with A2 rating",13/04/2023,70
"Aran Old Battery Road Westlodge , Athlone, Co. Westmeath",Ä125 per week,Double Room,Shared Bathroom,House,1,"May 30th, 2023",6 Months,1,Yes,Male / Female,"DescriptionRoom now gone
Next availability is June 19

Very modern, newly renovated, and well-proportioned house on west side of Athlone. Town centre location. All mod cons.
Owner occupied. Please note this is for Sunday night/Monday to Friday only. No weekends. Will consider short term rental. 

Bathroom shared with one other person only. All bills included in the price. Towels, sheets etc all supplied.",11/04/2023,"2,563"
"Knockaphunta Park, Castlebar, Co. Mayo",Ä140 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 45883",21/03/2023,436
"16 greendale rd, maryborough woods maryborough  hi, Douglas, Co. Cork",Ä750 per month,Double Room,Shared Bathroom,House,1,Immediately,6 Months,4,Yes,Female,"DescriptionLarge double room available with large TV Netflix's,in a quiet  modern funky house with all mod cons.",12/04/2023,671
"mayorstone drive, Ennis Road, Co. Limerick",Ä800 per month,Double Room,Shared Bathroom,House,1,Immediately,3 Months,3,Yes,Male / Female,"DescriptionAvailable short term for 10 weeks

Spacious house finished to the highest standard. Has all mod cons. high speed unlimitited fibre optic broadband, sky+ tv, dishwasher, washing machine, dryer, recliner leather suite, 50"" flatscreen tv, electric showers etc. Solid walls between bedrooms as opposed to partition walls giving you added privacy with noise

House is in excellent location, just 10 min walk to the city centre. all local shops and amenities in vacinity. Limerick lawns tennis club,  st camillises hospital, maternity hospital, jetland shopping centre, lidl, Woodies DIY etc all within few mins walk of house. Shelbourne park directly across from house(very well maintained), running track and 3 pitches. Bus stop outside house.

Quiet peaceful house. I'm looking for a neat tenant that likes a peaceful clean house who does not drink or smoke",11/04/2023,"1,670"
"Middle house, Main Street , Ringaskiddy, Co. Cork",Ä650 per month,Double Room,En-suite,House,1,Immediately,1 Year,8,No,Male / Female / +1 Person,"DescriptionA large double bed en-suite room available in ringaskiddy. 
The property is located within walking distance of all the multinational companies locally.
It is also located near the Marin College.
The price of 650 includes all bills.",10/04/2023,437
"Newbridge Town, Newbridge, Co. Kildare",Ä600 per month,Double Room,En-suite,House,1,Immediately,1 Year,1,No,Female,"Description*MONDAY TO FRIDAY ONLY. PLEASE DO NOT CONTACT ME IF YOU REQUIRE TO STAY WEEKENDS*

Double room with sole use of main bathroom in a very clean and quiet house located in a nice estate. Sharing with one professional female.

Five minute walk to town centre, bus stops and train station. Broadband and bills included.

No access to sitting room with TV, this room is not shared. No house guests. 

Short stays accepted. This will only suit someone who goes home at weekends.",13/04/2023,104
"Grandville, Follistown, Navan, Navan, Co. Meath",Ä415 per month,Double Room,En-suite,House,3,Immediately,1 Year +,4,No,Male / Female / +1 Person,"DescriptionDetached Bungalow located on a large mature site. Property has a spacious living room with open fireplace, kitchen, with a large garden to the rear and side.
This property is located in the countryside, only 5 minutes drive to Navan Town Centre. The property does not have access to public transport, so own transport is highly advisable.",11/04/2023,897
"12 Maiville, Kilrush Road, Ennis, Ennis, Co. Clare",Ä550 per month,Double Room,Shared Bathroom,House,1,Immediately,8 Months,1,Yes,Female,"DescriptionDouble room to rent in Ennis, walking distance from the town in a quiet safe area. suitable for females. Quiet house everyone is working full time. If you think this would be suitable for you.",03/04/2023,352
"8 Athy Road Dranure House, Carlow Town, Co. Carlow",Ä400 per month,Double Room,Shared Bathroom,House,1,"Apr 20th, 2023",1 Year,2,No,Male / Female,DescriptionQuiet house sharing with two other females. Please message me with any questions,09/04/2023,727
"Ballinorig Road, Tralee, Co. Kerry",Ä150 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 34799A",31/03/2023,289
"2c Abbotstown Avenue, Dublin 11, Dublin 11",Ä650 per month,Twin Room,Shared Bathroom,House,1,"May 1st, 2023",1 Year +,5,No,Male / Female / +1 Person,"Description1St
Sharing room 1 single bed each bed 650‚‚‚‚‚Ç¨≈°¨≈°¨ + bill
Available from May

2nd 
I have one more seat for 2 months April & May 


Any one interested send me message ,

Bus stop next to house , (30 mins on bus to city center)

No pets 
No smoking 
No party 
Looking for clean and respectful parsons 
Available from 1st May",08/04/2023,522
"Tully, Inverin, Co. Galway",Ä125 per week,Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 36553B",05/04/2023,167
"2 Lakelands Gardens, Crawford Gate, Blackrock, Cor, Blackrock, Co. Cork",Ä800 per month,Double Room,En-suite,House,1,"May 10th, 2023",1 Year,1,Yes,Male / Female,"DescriptionDouble room available in new modern house. The property is ideally located within walking distance of Supervalu Aldi, Mater Private Hospital, Mahon Point shopping centre, Business Park, and within easy reach of the South Link road system, Jack Lynch Tunnel and Cork airport. Bill's are extra and Not included in the rent. Email or Call after 6pm. No calls during office hours.",11/04/2023,782
"Glenabbey Road, Mount Merrion, Co. Dublin",Ä750 per month,Double Room,Shared Bathroom,House,3,"May 20th, 2023",3 Months,2,No,Male / Female,"DescriptionThe house has a large kitchen with a utility room off it. There is a separate dining/sitting room and two full bathrooms in the house, one upstairs and the other downstairs, with gardens front and back. The location and the house are quiet. There is a lovely public park at the rear of the house with views over Dublin. All bills are included and the house is serviced.",13/04/2023,473
"Kylemore, Castletroy, Co. Limerick",Ä200 per week,Double Room,En-suite,House,1,"May 8th, 2023",6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 45488",21/03/2023,"1,060"
"Passage west , Glenbrook, Co. Cork",Ä650 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year +,4,Yes,Male / Female,"DescriptionDouble room to rent 

Passage west / Glenbrook area 

Beautifully furnished and well maintained house, large kitchen / dining area, utility, beautiful view looking out over the water  

Sky, Tv/WiFi 

7 mins walk to bus route (223) which bring you to Ringaskidy or straight to cork city 

7 mins drive to ringaskiddy/ new port of cork 

15 mins drive to cork city 

-  Mahon Point Shopping Centre (Voxpro, EMC, Quest, CIty Gate, Energie fitness)- 15 mins drive 

-  Douglas Shopping Centre - 10 mins drive 

Monkstown / Rochestown electric car charger point, Pharmacy, Centra store), 

-  Carrigaline - Supervalu /dunnes/Lidi - 10 mins drive 

 Ringaskiddy (Pfizer,  Novartis, Hovion, Marina Port of Cork etc.)- drive 7/10 mins / bus route 15 mins 

 Passage West (post office, pharmacy, Aldi 

Ferry to Cobh/ Little Island 3 mins drive / 10 mins walk 

- Cork Airport- 15 mins 

650 per month + bills",05/04/2023,673
"Riverside Drive, Dundalk, Co. Louth",Ä600 per month,Double Room,Shared Bathroom,House,1,Immediately,6 Months,1,Yes,Male,"DescriptionBeautiful modern duplex in quiet residential area of dundalk. Close to town and pay pal, wuxi,  Xerox, cinema. Shops,

All bills included,  Electricity Heating, Internet, bins, cleaning lady twice monthly.

1  Large double rooms  lots of storage, bathroom shared with one other tenant.

Large kitchen dining area, downstairs toilet,  large outdoor private balcony
Home in excellent repair.  Gay friendly.

600 deposit plus 600 1st month rent moving in.. Deposit returned with 4 weeks notice of leaving property.",12/04/2023,"1,108"
"rocky road, Midleton, Co. Cork","Ä1,200 per month",Double Room,En-suite,House,1,"Jun 1st, 2023",1 Year +,1,Yes,Male,"DescriptionPrivate studio/flat inset in main house, fully self-catering with its own separate entrance. Totally separate from main house. There is private secure parking also.

It has individual heating control, a double bed, large toilet, large wardrobes, 2-seater couch with desk/tv stand and a separate kitchen area with a fridge/freezer, small cooker, 2 hot plates, kettle, toaster and all utensils etc.

Washing machine and dryer for laundry are located in the main house utility room via separate entrance.

Rent is 1200 per month all-inclusive of electric, gas heating, WiFi and Ethernet connection, bins etc.

Email details about yourself along with contact details 
and I will get back to you

!!!!Currently being painted photos to follow!!!!",03/04/2023,258
"Haydens Park Lawn, Lucan, Co. Dublin",Ä185 per week,Twin Room,Shared Bathroom,House,1,"Jun 1st, 2023",6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 681",07/04/2023,213
"48 Pine Hurst, Dublin 7",Ä760 per month,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,No,Male / Female,"DescriptionLocated in Dublin 7, Double room with your own bathroom in a private estate just across from Tesco and Cabra library.
Short or long term let considered depending on applicant.
The area has lots of amenities within 5 mins walk including gym, swimming pool, local parks, Tesco, Lidl, Pharmacies etc. 15 mins to Stoneybatter or Phibbsborough
Bus connections 2 mins walk from the door.
Phoenix park is 5 mins by bike  0mins into town.
Free anytime on street parking available - * no parking permit required.
Secure shed for storing bikes etc.
House to be shared with 2 others people (we are a couple) Irish & Spanish.
The area is a really nice, quiet  safe residential area with it's own little private park. We are in our mid-late 30's, we're social, easy going, tidy & fair to live with.
Just to be aware this is not party house. 
Smokers welcome to apply - But outside only please.
Anything else please send me a message I will try get back to you as soon as I can.
Thanks for viewing!",13/04/2023,"1,847"
"63 Cashel Avenue, Dublin 12, Terenure, Dublin 6",Ä850 per month,Single Room,En-suite,House,1,"Apr 30th, 2023",3 Months,1,Yes,Male / Female,"DescriptionRoom available in upstairs of house
Close to all amenities 
Property shared with owner
Nice quiet area",13/04/2023,381
"Harbour Road, Rush, Co. Dublin",Ä280 per week,Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 24330",21/03/2023,364
"Southmede, Ballinteer Road, Dundrum, Dublin 14","Ä1,000 per month",Double Room,Shared Bathroom,Apartment,1,"Apr 14th, 2023",6 Months,1,Yes,Male / Female,"DescriptionBright room with King Bed and built in wardrobe available immediately, sharing apartment with one other female and friendly cat. No sharing of room unfortunately. Ballaly Luas is a ten minute walk and 14 and 75 bus runs outside the door. 

You will be sharing the apartment with me, a female in her early 30s and I work between my office and home depending on the project Im on. Room to let is not large enough to WFH full time unfortunately 

Room is available asap, 6 months with view to extending lease, also open to less than 7 nights per week pro rota. Bills not included, parking can be arranged with another tenant in building who is willing to rent one, lots of bike parking underground. 

Really nice apartment with lots of modern conveniences, particularly in the kitchen - coffee machine, milk foamer, food processor, air fryer

Please email any questions or to arrange a viewing. Please add a little info about yourself. I'll try get back to everyone but apologies if I can't. Thanks!",12/04/2023,"2,158"
"18 Ardcahon Drive, Coolkellure, Lehenagh More, Cor, Lehenaghmore, Co. Cork",Ä750 per month,Double Room,Shared Bathroom,House,1,Immediately,6 Months,1,Yes,Male / Female,"DescriptionFully furnished double room available to rent. All mod cons. 
Approx. 10 min drive to city centre, all hospitals, airport. Bus stop 3 min walk - route 203. 
House located in quiet, safe residential area. 
Parking available. 

Owner occupied. No pets. Non smokers only.
Utilities extra (electricity, bins, internet). One month security deposit required with first months rent. 

Please email me on daft if interested, with some info about yourself.",14/04/2023,"1,609"
"dale road, Kilmacud, Co. Dublin","Ä1,160 per month",Double Room,En-suite,Apartment,1,"May 1st, 2023",1 Year,2,Yes,Male / Female,"DescriptionWe have available a self contained, modern cosy 1 bed apartment. It is attached to main house but has own door access and is completely private. We are in a nice quiet neighborhood and it's flexible with the length of stay (4months -1 yr +). 
The place is small but fully furnished and with a small double bed. It is close to bus and luas stops and there is parking available. Also it's around 10 mins bike to UCD.
Rent includes ALL bills... Gas, electricity, bins, wifi etc",13/04/2023,274
"22 Aughanteeroe, Gort Road, Ennis, Ennis, Co. Clare",Ä500 per month,Double Room,En-suite,House,1,Immediately,1 Year,3,No,Male / Female,"DescriptionLarge Double room with ensuite, located on the Gort Rd, Ennis. Email only. Bills not included in monthly rent.",31/03/2023,"1,194"
"Collins Park, Beaumont, Dublin 9",From Ä800 to Ä850 per month,Double Room,Shared Bathroom,House,2,Immediately,1 Year,1,Yes,Male / Female,"DescriptionTwo Double rooms available 

The city centre is easily accessible by bus which takes approximately 15 minutes.
Beaumont hospital is within walking distance as are a number of local shops and other amenities.",10/04/2023,"1,958"
